"id","name","binsize","startpos","amplitudenumber","pidsinfoId","channelId","isconfigchanged","profile","comments","isSynced","createdAt","updatedAt","regioninfoId"
1,"Sv2 To Sv3",6.80635,27.906,5217,1,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
2,"Sv2 To Sv01",6.80635,19.7384,3493,1,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
3,"Sv04 To Kmp151",6.80635,19.7384,4939,2,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
4,"Sv04 To Sv03",6.80635,29.9479,3739,2,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
5,"Mathura To Sv05",0.681,49.686,35029,3,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
6,"Mathura To Kmp151",1.36127,0,10614,3,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
7,"Sv06 To Sv07",4.084,14.974,9670,4,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
8,"Sv06 To Sv05",4.084,14.974,7709,4,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
9,"Ips To Sv08",1.361,179.688,20113,5,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
10,"Ips To Sv07",2.042,334.872,14209,5,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
11,"Sv09 To Sv10",5.445,100.053,5263,6,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
12,"Sv09 To Sv08",5.445,140.211,6226,6,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
13,"Rewari To Sv01",0.681,149.74,54587,7,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
14,"Rewari To Sv33",3.403,260.003,9509,8,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,4
15,"Brs To Sv33",10.21,170.159,4348,9,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,3
16,"Brs To Tikrikalan",10.21,110.263,3921,9,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,3
17,"Sv4 To Sv5",2.723,64.66,15730,10,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,1
18,"Sv4 To Sv3",2.042,29.267,17185,10,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,1
19,"Sv02 To Sv03",3.403,29.267,10445,11,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,1
20,"Sv02 To Sv01",1.361,120.472,15130,11,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,1
21,"Ramanmandi To Sv01",3.403,54.451,11312,12,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,1
22,"Ramanmandi To Bathinda",5.445,49.686,5838,12,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"f",,,2
23,"Sv11 To Krs",1.36127,119.792,25476,13,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
24,"Sv11 To Sv10",1.36127,49.6864,28503,13,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,5
25,"Sv32 To Sv31",10.21,85.079,2968,14,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,4
26,"Rewari To Sv32",4.084,29.267,8515,14,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,4
28,"Sv30 To Sv31",6.126,49.6863479614258,4527,15,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 100, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 50, ""normalisation_threshold"": 0.2}",,"t",,,4
29,"Sv06 To Brs",4.084,110.262855529785,7494,16,1,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 5000, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 80, ""normalisation_threshold"": 0.2}",,"t",,,1
30,"Sv06 To Sv05Rbpl",4.084,149.74,10290,16,2,"f","{""width"": {""Manual Digging"": 5, ""Machine Digging"": 5, ""Vehicle Movement"": 10}, ""convertion"": {""Drums Beating"": [10, ""Manual Digging""], ""Vehicle Movement"": [10, ""Manual Digging""]}, ""model_name"": ""cnn1d_inter"", ""max_threshold"": 5000, ""model_baseurl"": ""http://192.168.21.136:8501/v1/models/channel03-3"", ""normalisation"": ""standard"", ""default_threshold"": 1, ""model_encoder_url"": ""/home/scheduler/oneview3/schedulers/pickle_files/encoder_3_classes_Mac_Man_Veh.pkl"", ""escalation metrics"": {""Red"": [0, 0], ""Amber"": [0.8, 1], ""Clear"": [0.4, 0.5], ""Green"": [0.5, 0.8], ""Unclassified"": [0, 0.4]}, ""alarm_grouping_distance"": 80, ""normalisation_threshold"": 0.2}",,"t",,,1
