tlp_id,pipelinechainageId,source,userId,datetime,vac1,vac2,vdc1,vdc2,vbat,anomaly,pidsinfoId,createdAt,updatedAt
1,139,android,0,2022-03-08 05:17:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:17:42+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:17:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:18:03+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:18:22+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:19:02+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:19:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:20:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:20:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:21:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:21:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:21:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:21:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:22:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:23:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:23:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:24:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:25:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 05:25:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:17:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:17:42+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:17:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:18:03+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:18:22+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:19:02+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:19:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:20:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:20:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:21:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:21:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:21:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:21:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:22:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:23:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:23:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:24:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:25:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 06:25:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 07:22:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 07:23:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 07:23:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 07:24:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 07:25:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-08 07:25:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:51:33+00:00,2022-02-18 06:51:33+00:00
1,139,android,0,2022-03-09 05:17:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:17:42+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:17:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:18:03+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:18:22+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:19:02+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:19:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:20:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:20:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:21:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:21:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:21:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:21:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:22:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:23:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:23:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:24:26+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:25:06+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 05:25:46+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:17:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:17:42+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:17:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:18:03+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:18:22+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:18:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:19:02+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:19:05+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:19:23+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:19:45+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
1,139,android,0,2022-03-09 06:20:25+00:00,1.24,-0.8,0.89,-0.06,11.2,False,1,2022-02-18 06:52:00+00:00,2022-02-18 06:52:00+00:00
